sirina,duzina,naziv,n
41.327953,19.819025,Albanija,1294
-34.603722,-58.381592,Argentina,2127
-33.865143,151.209900,Australija,12497
48.210033,16.363449,Austrija,654667
51.260197,4.402771,Belgija,48397
53.893009,27.567444,Bjelorusija,3058
43.856430,18.413029,BiH,31683
-22.908333,-43.196388,Brazil,3870
42.698334,23.319941,Bugarska,4690
35.095192,33.203430,Cipar,317
42.442574,19.268646,Crna Gora,1773
49.195061,16.606836,Češka,152319
-33.447487,-70.673676,Čile,1023
55.676098,12.568337,Danska,43203
59.436962,24.753574,Estonija,4286
60.192059,24.945831,Finska,11361
48.864716,2.349014,Francuska,64478
37.983810,23.727539,Grčka,1468
22.302711,114.177216,Hong Kong,788
28.644800,77.216721,Indija,2274
-8.409518,115.188919,Indonezija,338
53.350140,-6.266155,Irska,11006
60.201614,19.808350,Island,1397
41.902782,12.496366,Italija,462910
31.771959,35.217018,Izrael,5549
35.652832,139.839478,Japan,2029
31.963158,35.930359,Jordan,114
-33.918861,18.423300,JAR,2137
43.651070,-79.347015,Kanada,12136
25.286106,51.534817,Katar,76
43.238949,76.889709,Kazahstan,741
39.913818,116.363625,Kina,10794
37.532600,127.024612,Koreja,9350
42.667542,21.166191,Kosovo,1478
29.378586,47.990341,Kuvajt,164
56.946285,24.105078,Letonija,3450
47.167500,9.510530,Lihtenštajn,548
54.687157,25.279652,Litva,5785
49.611622,6.131935,Luksemburg,2012
47.497913,19.040236,Mađarska,129062
22.210928,113.552971,Makao,51
41.047253,20.714722,Makedonija,5753
35.917973,14.409943,Malta,294
33.589886,-7.603869,Maroko,469
19.432608,-99.133209,Meksiko,1211
52.370216,4.895168,Nizozemska,171155
59.911491,10.757933,Norveška,22000
-36.848461,174.763336,Novi Zeland,2964
52.520008,13.404954,Njemačka,1059918
23.614328,58.545284,Oman,62
52.237049,21.017532,Poljska,130279
38.736946,-9.142685,Portugal,3846
44.439663,26.096306,Rumunjska,23590
55.751244,37.618423,Rusija,46928
36.778259,-119.417931,SAD,46103
48.148598,17.107748,Slovačka,68601
46.056946,14.505751,Slovenija,605934
44.787197,20.457273,Srbija,42630
40.416775,-3.703790,Španjolska,20118
59.334591,18.063240,Švedska,41048
46.204391,6.143158,Švicarska,67305
13.736717,100.523186,Tajland,1063
25.105497,121.597366,Tajvan,6647
36.806389,10.181667,Tunis,160
41.015137,28.979530,Turska,2806
51.509865,-0.118092,Ujedinjeno Kraljevstvo,146201
25.276987,55.296249,Ujedinjeni Ar. Emirati,236
49.988358,36.232845,Ukrajina,29725
45.815399,15.966568,Hrvatska,313217
